year,name,total_units,units_1,units_2,units_3_4,units_5_more,structures_units_5_more,note
2006,"Abilene, TX",365,333,16,0,16,1,NA
2006,"Akron, OH",2209,1746,24,100,339,18,NA
2006,"Albany, GA",727,647,40,32,8,1,NA
2006,"Albany-Schenectady-Troy, NY",2450,1836,48,72,494,34,NA
2006,"Albuquerque, NM",6822,6062,0,30,730,40,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Alexandria, LA",951,951,0,0,0,0,NA
2006,"Allentown-Bethlehem-Easton, PA-NJ",4144,3860,40,38,206,23,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Altoona, PA",193,188,2,3,0,0,NA
2006,"Amarillo, TX",1181,709,0,0,472,34,NA
2006,"Ames, IA",484,278,4,0,202,13,NA
2006,"Anchorage, AK",1588,665,184,70,669,42,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Anderson, IN",328,314,14,0,0,0,NA
2006,"Anderson, SC",1596,1219,6,0,371,13,NA
2006,"Ann Arbor, MI",775,627,8,8,132,20,NA
2006,"Anniston-Oxford, AL",277,232,14,24,7,1,NA
2006,"Appleton, WI",965,807,64,44,50,4,NA
2006,"Asheville, NC",4310,3750,34,122,404,20,NA
2006,"Athens-Clarke County, GA",1891,1411,8,0,472,24,NA
2006,"Atlanta-Sandy Springs-Marietta, GA",68266,53927,226,484,13629,367,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Atlantic City, NJ",1893,1536,36,27,294,13,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Auburn-Opelika, AL",2204,1687,18,0,499,26,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Augusta-Richmond County, GA-SC",3619,3601,18,0,0,0,NA
2006,"Austin-Round Rock, TX",26096,17615,564,518,7399,240,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Bakersfield, CA",6991,5731,188,766,306,25,NA
2006,"Baltimore-Towson, MD",8133,6339,20,15,1759,88,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Bangor, ME",709,610,20,24,55,7,NA
2006,"Barnstable Town, MA",886,788,2,21,75,8,NA
2006,"Baton Rouge, LA",9061,6414,42,16,2589,199,NA
2006,"Battle Creek, MI",210,198,0,0,12,1,NA
2006,"Bay City, MI",213,213,0,0,0,0,NA
2006,"Beaumont-Port Arthur, TX",1993,945,0,408,640,25,NA
2006,"Bellingham, WA",1482,1181,32,66,203,14,NA
2006,"Bend, OR",3284,3073,84,53,74,8,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Billings, MT",725,676,8,13,28,2,NA
2006,"Binghamton, NY",303,303,0,0,0,0,NA
2006,"Birmingham-Hoover, AL",7807,6437,34,25,1311,70,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Bismarck, ND",993,699,20,43,231,17,NA
2006,"Blacksburg-Christiansburg-Radford, VA",977,863,4,59,51,4,NA
2006,"Bloomington, IN",737,651,52,11,23,4,NA
2006,"Bloomington-Normal, IL",794,672,4,0,118,13,NA
2006,"Boise City-Nampa, ID",8352,7440,104,547,261,12,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Boston-Cambridge-Quincy, MA-NH",13916,6167,758,589,6402,234,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Boulder, CO",746,453,24,31,238,26,NA
2006,"Bowling Green, KY",921,739,32,72,78,7,NA
2006,"Bremerton-Silverdale, WA",1236,1184,26,0,26,4,NA
2006,"Bridgeport-Stamford-Norwalk, CT",1939,1480,108,11,340,17,NA
2006,"Brownsville-Harlingen, TX",3402,2852,38,105,407,36,NA
2006,"Brunswick, GA",1226,1212,2,0,12,1,NA
2006,"Buffalo-Niagara Falls, NY",2023,1473,76,8,466,17,NA
2006,"Burlington, NC",1988,1688,0,0,300,17,NA
2006,"Burlington-South Burlington, VT",744,576,36,21,111,5,NA
2006,"Canton-Massillon, OH",1010,946,12,0,52,10,NA
2006,"Cape Coral-Fort Myers, FL",18746,14700,88,139,3819,312,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Carson City, NV",187,110,2,20,55,4,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Casper, WY",423,423,0,0,0,0,NA
2006,"Cedar Rapids, IA",1200,935,44,165,56,7,NA
2006,"Champaign-Urbana, IL",1828,1044,18,24,742,58,NA
2006,"Charleston, WV",705,547,16,8,134,5,NA
2006,"Charleston-North Charleston, SC",9073,7304,58,84,1627,117,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Charlotte-Gastonia-Concord, NC-SC",25161,20298,88,172,4603,190,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Charlottesville, VA",1789,1263,8,9,509,13,NA
2006,"Chattanooga, TN-GA",3455,3029,84,100,242,19,NA
2006,"Cheyenne, WY",509,492,2,4,11,1,NA
2006,"Chicago-Naperville-Joliet, IL-IN-WI NA",46722,28632,734,2079,15277,625,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Chico, CA",1282,1189,12,31,50,1,NA
2006,"Cincinnati-Middletown, OH-KY-IN",9447,7436,74,392,1545,114,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Clarksville, TN-KY",3215,2110,58,245,802,56,NA
2006,"Cleveland, TN",841,789,42,10,0,0,NA
2006,"Cleveland-Elyria-Mentor, OH",5194,4542,60,147,445,50,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Coeur dAlene, ID",1599,1208,70,21,300,24,NA
2006,"College Station-Bryan, TX",1585,920,52,19,594,52,NA
2006,"Colorado Springs, CO",4595,4300,22,109,164,25,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Columbia, MO",1936,949,186,22,779,66,NA
2006,"Columbia, SC",8117,6494,28,142,1453,71,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Columbus, GA-AL",2227,1635,8,43,541,41,NA
2006,"Columbus, IN",281,281,0,0,0,0,NA
2006,"Columbus, OH",7876,5641,122,676,1437,114,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Corpus Christi, TX",3300,2113,40,220,927,42,NA
2006,"Corvallis, OR",355,301,8,46,0,0,NA
2006,"Cumberland, MD-WV",234,234,0,0,0,0,NA
2006,"Dallas-Fort Worth-Arlington, TX",56514,43591,596,329,11998,456,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Dalton, GA",933,715,22,41,155,16,NA
2006,"Danville, IL",35,35,0,0,0,0,NA
2006,"Danville, VA",300,277,0,3,20,4,NA
2006,"Davenport-Moline-Rock Island,  IA-IL NA",1155,851,32,12,260,12,NA
2006,"Dayton, OH",2131,1839,38,3,251,22,NA
2006,"Decatur, AL",336,336,0,0,0,0,NA
2006,"Decatur, IL",411,325,6,0,80,1,NA
2006,"Deltona-Daytona Beach-Ormond Beach, FL",3815,2906,24,4,881,42,NA
2006,"Denver-Aurora, CO",18070,13166,226,147,4531,138,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Des Moines-West Des Moines, IA",5120,3854,50,19,1197,50,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Detroit-Warren-Livonia, MI",8920,7468,108,183,1161,67,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Dothan, AL",702,698,4,0,0,0,NA
2006,"Dover, DE",1703,1485,2,24,192,9,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Dubuque, IA",411,363,24,10,14,2,NA
2006,"Duluth, MN-WI",1192,938,38,26,190,28,NA
2006,"Durham, NC",4373,3460,22,4,887,49,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Eau Claire, WI",782,615,70,11,86,7,NA
2006,"El Centro, CA",2203,1934,14,17,238,22,NA
2006,"El Paso, TX",4140,3877,0,160,103,20,NA
2006,"Elizabethtown, KY",1146,859,62,93,132,12,NA
2006,"Elkhart-Goshen, IN",923,889,2,32,0,0,NA
2006,"Elmira, NY",91,72,0,19,0,0,NA
2006,"Erie, PA",700,604,20,28,48,5,NA
2006,"Eugene-Springfield, OR",1708,1299,50,93,266,19,NA
2006,"Evansville, IN-KY",1536,1278,12,49,197,23,NA
2006,"Fairbanks, AK",360,300,50,10,0,0,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Fargo, ND-MN",1927,1283,0,39,605,24,NA
2006,"Farmington, NM",443,435,0,8,0,0,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Fayetteville, NC",4115,3187,2,52,874,66,NA
2006,"Fayetteville-Springdale-Rogers, AR-MO",6093,4029,454,160,1450,136,NA
2006,"Flagstaff, AZ",1080,820,4,0,256,16,NA
2006,"Flint, MI",980,777,16,3,184,7,NA
2006,"Florence, SC",902,902,0,0,0,0,NA
2006,"Florence-Muscle Shoals, AL",375,367,0,0,8,1,NA
2006,"Fond du Lac, WI",442,306,32,20,84,7,NA
2006,"Fort Collins-Loveland, CO",2240,1432,64,107,637,27,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Fort Smith, AR-OK",808,661,104,27,16,1,NA
2006,"Fort Walton Beach-Crestview-Destin, FL",1790,1699,2,11,78,9,NA
2006,"Fort Wayne, IN",1588,1376,76,12,124,15,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Fresno, CA",5278,3904,80,106,1188,116,NA
2006,"Gadsden, AL",391,312,0,36,43,4,NA
2006,"Gainesville, FL",2041,1101,6,0,934,68,NA
2006,"Gainesville, GA",1854,1702,6,47,99,7,NA
2006,"Glens Falls, NY",709,571,4,86,48,6,NA
2006,"Goldsboro, NC",522,514,8,0,0,0,NA
2006,"Grand Forks, ND-MN",486,243,4,11,228,12,NA
2006,"Grand Junction, CO",1574,1426,18,24,106,12,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Grand Rapids-Wyoming, MI",2913,2435,28,28,422,22,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Great Falls, MT",320,309,4,7,0,0,NA
2006,"Greeley, CO",2922,2579,24,16,303,13,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Green Bay, WI",2105,1509,74,24,498,39,NA
